iter	Passed	Remaining
833	1783	354
834	1784	352
835	1786	350
836	1788	348
837	1789	346
838	1791	343
839	1792	341
840	1794	339
841	1796	337
842	1797	334
843	1799	332
844	1800	330
845	1803	328
846	1804	325
847	1806	323
848	1807	321
849	1809	319
850	1810	317
851	1812	314
852	1814	312
853	1816	310
854	1818	308
855	1820	306
856	1821	304
857	1823	301
858	1824	299
859	1826	297
860	1827	295
861	1829	292
862	1830	290
863	1832	288
864	1834	286
865	1835	284
866	1837	281
867	1838	279
868	1840	277
869	1841	275
870	1843	273
871	1847	271
872	1849	269
873	1852	267
874	1854	264
875	1861	263
876	1863	261
877	1864	259
878	1866	256
879	1867	254
880	1869	252
881	1870	250
882	1872	248
883	1873	245
884	1875	243
885	1876	241
886	1878	239
887	1880	237
888	1881	234
889	1883	232
890	1884	230
891	1886	228
892	1888	226
893	1891	224
894	1892	222
895	1894	219
896	1896	217
897	1897	215
898	1898	213
899	1900	211
900	1902	209
901	1905	206
902	1906	204
903	1908	202
904	1910	200
905	1911	198
906	1913	196
907	1914	194
908	1916	191
909	1917	189
910	1919	187
911	1921	185
912	1922	183
913	1924	181
914	1926	178
915	1927	176
916	1929	174
917	1930	172
918	1932	170
919	1934	168
920	1936	166
921	1938	164
922	1940	161
923	1941	159
924	1943	157
925	1945	155
926	1947	153
927	1948	151
928	1950	149
929	1952	146
930	1953	144
931	1955	142
932	1956	140
933	1958	138
934	1959	136
935	1962	134
936	1964	132
937	1965	129
938	1967	127
939	1968	125
940	1970	123
941	1972	121
942	1973	119
943	1976	117
944	1978	115
945	1979	112
946	1981	110
947	1982	108
948	1984	106
949	1985	104
950	1987	102
951	1988	100
952	1990	98
953	1992	96
954	1994	93
955	1996	91
956	1997	89
957	1999	87
958	2000	85
959	2002	83
960	2003	81
961	2006	79
962	2008	77
963	2009	75
964	2011	72
965	2012	70
966	2014	68
967	2016	66
968	2017	64
969	2021	62
970	2023	60
971	2025	58
972	2027	56
973	2029	54
974	2031	52
975	2033	49
976	2034	47
977	2036	45
978	2038	43
979	2040	41
980	2042	39
981	2043	37
982	2045	35
983	2046	33
984	2049	31
985	2051	29
986	2053	27
987	2055	24
988	2057	22
989	2058	20
990	2060	18
991	2063	16
992	2064	14
993	2066	12
994	2067	10
995	2069	8
996	2071	6
997	2072	4
998	2074	2
999	2075	0
